#  JMA2001 + Density + Attenuation
#
#  The original JMA2001 velocity strucuture model (Ueno, et al., 2002)
#  used in hypocentral determination by Japan Meteorological Agency 
#  contains depth, P-wave velocity adn S-wave velocity.
#  Mass density and intrinsic attenuation factors are obtained from 
#  empirical relationships summarized in Brocher (2008; J Seismol.)
#  Note that the velocities of deep structure (>270 km for density and
#  >420 km for attenuation) exceeds the limiation of the empirical formula.
#  Please use it with caution for deep-focus earthquake. 
#
#   depth(km)   rho(g/cc)   vp(km/s)    vs(km/s)       Qp       Qs
# ------------------------------------------------------------------
    173.0000      3.3541      8.1750      4.5540   1422.5116    711.2558
    173.5000      3.3548      8.1770      4.5550   1423.2832    711.6416
    174.0000      3.3555      8.1790      4.5560   1424.0552    712.0276
    174.5000      3.3559      8.1800      4.5560   1424.0552    712.0276
    175.0000      3.3566      8.1820      4.5570   1424.8274    712.4137
    175.5000      3.3574      8.1840      4.5580   1425.6001    712.8000
    176.0000      3.3581      8.1860      4.5590   1426.3730    713.1865
    176.5000      3.3585      8.1870      4.5590   1426.3730    713.1865
    177.0000      3.3592      8.1890      4.5600   1427.1464    713.5732
    177.5000      3.3599      8.1910      4.5610   1427.9200    713.9600
    178.0000      3.3603      8.1920      4.5620   1428.6940    714.3470
    178.5000      3.3610      8.1940      4.5630   1429.4684    714.7342
    179.0000      3.3618      8.1960      4.5640   1430.2431    715.1216
    179.5000      3.3625      8.1980      4.5650   1431.0182    715.5091
    180.0000      3.3629      8.1990      4.5650   1431.0182    715.5091
    180.5000      3.3640      8.2020      4.5670   1432.5694    716.2847
    181.0000      3.3647      8.2040      4.5680   1433.3455    716.6727
    181.5000      3.3651      8.2050      4.5680   1433.3455    716.6727
    182.0000      3.3658      8.2070      4.5690   1434.1220    717.0610
    182.5000      3.3665      8.2090      4.5700   1434.8988    717.4494
    183.0000      3.3673      8.2110      4.5710   1435.6759    717.8380
    183.5000      3.3680      8.2130      4.5720   1436.4535    718.2267
    184.0000      3.3687      8.2150      4.5730   1437.2313    718.6157
    184.5000      3.3695      8.2170      4.5740   1438.0095    719.0048
    185.0000      3.3702      8.2190      4.5750   1438.7881    719.3941
